PfiFlowDefinition,Description,IsFlowEnabled,IsSubProcess,NotifyByEmail
"AnalyticsUpgradeCopyConsumerCustomization","AnalyticsUpgradeCopyConsumerCustomization","Yes","No","None"
"AnalyticsUpgradeCopyReportCustomization","AnalyticsUpgradeCopyReportCustomization","Yes","No","None"
"AnalyticsUpgradeSMDtoATC","AnalyticsUpgradeSMDtoATC","Yes","No","None"
"AnalyticsUpgradeSMDtoSTC","AnalyticsUpgradeSMDtoSTC","Yes","No","None"
"AnalyticsUpgradeSwapSTCATC","AnalyticsUpgradeSwapSTCATC","Yes","No","None"
"AnalyticsUpgradeTenantToTenant","AnalyticsUpgradeTenantToTenant","Yes","No","None"
"AssetApproval","AssetApproval","Yes","No","None"
"AssetReviewApproval","AssetReviewApproval","Yes","No","None"
"BankStatementDistributionApproval","BankStatementDistributionApproval","Yes","No","None"
"BankStatementReconciliationApproval","BankStatementReconciliationApproval","Yes","No","None"
"BillingInvoiceOutput","BillingInvoiceOutput","Yes","No","None"
"BudgetChangeApproval","BudgetChangeApproval","Yes","No","None"
"BudgetEditCallBack","BudgetEditCallBack","Yes","No","None"
"CMContNegFinalAppr","CMContNegFinalAppr","Yes","No","None"
"CMContNegFinalApprNoUpdate","CMContNegFinalApprNoUpdate","Yes","No","None"
"CMWordAppr","CMWordAppr","Yes","No","None"
"CashForecastApproval","CashForecastApproval","Yes","No","None"
"CashLedgerBatchApproval","CashLedgerBatchApproval","Yes","No","None"
"CashLedgerEFTExtractApproval","CashLedgerEFTExtractApproval","Yes","No","None"
"CashLedgerPaymentApproval","CashLedgerPaymentApproval","Yes","No","None"
"CashLedgerReceiptApproval","CashLedgerReceiptApproval","Yes","No","None"
"CashLedgerReturnedPaymentApproval","CashLedgerReturnedPaymentApproval","Yes","No","None"
"CashLedgerTransactionApproval","CashLedgerTransactionApproval","Yes","No","None"
"ChangeSupplierAddress","ChangeSupplierAddress","Yes","No","None"
"ChangeSupplierInformation","ChangeSupplierInformation","Yes","No","None"
"CheckForConcurrentWorkUnits","CheckForConcurrentWorkUnits","Yes","No","None"
"CloseApproval","CloseApproval","Yes","No","None"
"ContractChangeOrderApproval","ContractChangeOrderApproval","Yes","No","None"
"ContractEvaluationApproval","ContractEvaluationApproval","Yes","No","None"
"ContractProposalApproval","ContractProposalApproval","Yes","No","None"
"CreateLibraryTerm","CreateLibraryTerm","Yes","No","None"
"CustodialTransferApproval","CustodialTransferApproval","Yes","No","None"
"DataFlowToAnalyticsFullLoad","DataFlowToAnalyticsFullLoad","Yes","No","None"
"DataFlowToAnalyticsIncrementalLoad","DataFlowToAnalyticsIncrementalLoad","Yes","No","None"
"DepartmentTransactionApproval","DepartmentTransactionApproval","Yes","No","None"
"DepreciationApproval","DepreciationApproval","Yes","No","None"
"DetailPaymentVoidStopPayApproval","DetailPaymentVoidStopPayApproval","Yes","No","None"
"DunningLetterCSVFileGeneration","DunningLetterCSVFileGeneration","Yes","No","None"
"EDI822BankFeeStatementData","EDI822BankFeeStatementData","Yes","No","None"
"EDI832Import","EDI832Import","Yes","No","None"
"EDIDataExchange_Inbound","EDIDataExchange_Inbound","Yes","No","None"
"EDIDataExchange_Inbound_Translate","EDIDataExchange_Inbound_Translate","Yes","No","None"
"EDIDataExchange_Outbound","EDIDataExchange_Outbound","Yes","No","None"
"EDIDataExchange_Outbound_Single","EDIDataExchange_Outbound_Single","Yes","No","None"
"ExportCSVFiles","ExportCSVFiles","Yes","No","None"
"ExportCompanyAgingReportFile","ExportCompanyAgingReportFile","Yes","No","None"
